descriptor,exp_full,exp_good,comp_full,comp_good,exp_full_abs,exp_full_abs_rank,exp_good_abs,exp_good_abs_rank,comp_full_abs,comp_full_abs_rank,comp_good_abs,comp_good_abs_rank
sterimol_burL_boltz,-0.27841449480620284,-0.3087224780722117,-0.13053669611575314,-0.1585013840823327,0.27841449480620284,67.0,0.3087224780722117,66.0,0.13053669611575314,116.0,0.1585013840823327,113.0
sterimol_burL_delta,-0.6234762954726052,-0.5782934301199333,-0.2513185120173936,-0.5599746746109032,0.6234762954726052,19.0,0.5782934301199333,25.0,0.2513185120173936,55.0,0.5599746746109032,16.0
sterimol_burL_max,-0.33721989114018663,-0.26445793837449244,-0.027704601383878633,-0.24977523249701455,0.33721989114018663,54.0,0.26445793837449244,78.0,0.027704601383878633,167.0,0.24977523249701455,81.0
sterimol_burL_min,0.31387875432554907,0.3287564814372384,0.2816030825815007,0.3270023025098475,0.31387875432554907,56.0,0.3287564814372384,57.0,0.2816030825815007,38.0,0.3270023025098475,59.0
sterimol_burL_vburminconf,-0.2907207069505014,-0.2161877352890019,0.09058976758782844,-0.162293385203176,0.2907207069505014,63.0,0.2161877352890019,94.0,0.09058976758782844,140.0,0.162293385203176,109.0
sterimol_L_boltz,-0.13941498532127242,-0.2673947285183104,0.1280916272902214,-0.10877027307552822,0.13941498532127242,117.0,0.2673947285183104,75.0,0.1280916272902214,118.0,0.10877027307552822,140.0
sterimol_L_delta,-0.34308763410263776,-0.31146385672624727,-0.1349788028807768,-0.33180427524206224,0.34308763410263776,53.0,0.31146385672624727,65.0,0.1349788028807768,113.0,0.33180427524206224,57.0
sterimol_L_max,-0.1705850629892887,-0.1556448209146865,0.004568358337134159,-0.15625739102122982,0.1705850629892887,100.0,0.1556448209146865,120.0,0.004568358337134159,183.0,0.15625739102122982,115.0
sterimol_L_min,0.2392775985380145,0.2688039128932519,0.26517780265151025,0.31287218670919364,0.2392775985380145,78.0,0.2688039128932519,74.0,0.26517780265151025,48.0,0.31287218670919364,62.0
sterimol_L_vburminconf,-0.11531011017153711,-0.10665971842200135,0.08047629427641344,-0.06907432750454912,0.11531011017153711,124.0,0.10665971842200135,139.0,0.08047629427641344,145.0,0.06907432750454912,161.0
