equivalents,comp_yield,ddG,comp_yield_minus,comp_yield_plus,corrected_ddG,corrected_ddG_minus,corrected_ddG_plus,nice_comp_yield,nice_comp_yield_minus,nice_comp_yield_plus
5,0.86,3.010436935,0.204090759,0.974634836,1.486124998,0.486124998,2.486124998,86,20.4090759,97.4634836
5,0.87,3.018865829,0.206651009,0.97494678,1.494553892,0.494553892,2.494553892,87,20.6651009,97.494678
5,0.88,3.02720881,0.209216096,0.975251874,1.502896873,0.502896873,2.502896873,88,20.9216096,97.5251874
5,0.89,3.03546785,0.211786036,0.97555034,1.511155913,0.511155913,2.511155913,89,21.1786036,97.555034
5,0.9,3.043645762,0.214361133,0.975842425,1.519333825,0.519333825,2.519333825,90,21.4361133,97.5842425
5,0.905,3.081661244,0.226738864,0.977156222,1.557349308,0.557349308,2.557349308,90.5,22.6738864,97.7156222
5,0.91,3.121494285,0.24045642,0.978458123,1.597182348,0.597182348,2.597182348,91,24.045642,97.8458123
5,0.915,3.163354193,0.255742993,0.979748232,1.639042256,0.639042256,2.639042256,91.5,25.5742993,97.9748232
5,0.92,3.207489483,0.272883661,0.981026686,1.683177546,0.683177546,2.683177546,92,27.2883661,98.1026686
5,0.925,3.254196776,0.292236989,0.982293619,1.729884839,0.729884839,2.729884839,92.5,29.2236989,98.2293619
5,0.93,3.303834059,0.314260294,0.983549162,1.779522122,0.779522122,2.779522122,93,31.4260294,98.3549162
5,0.935,3.356838971,0.339546192,0.984793445,1.832527034,0.832527034,2.832527034,93.5,33.9546192,98.4793445
5,0.94,3.413754394,0.368876598,0.986026596,1.889442457,0.889442457,2.889442457,94,36.8876598,98.6026596
5,0.945,3.475265014,0.403304699,0.987248741,1.950953077,0.950953077,2.950953077,94.5,40.3304699,98.7248741
5,0.95,3.542251606,0.444283817,0.988460003,2.017939669,1.017939669,3.017939669,95,44.4283817,98.8460003
5,0.955,3.615873952,0.49387697,0.989660504,2.091562015,1.091562015,3.091562015,95.5,49.387697,98.9660504
5,0.96,3.697702713,0.555113663,0.990850364,2.173390776,1.173390776,3.173390776,96,55.5113663,99.0850364
5,0.965,3.789939912,0.632629552,0.992029702,2.265627975,1.265627975,3.265627975,96.5,63.2629552,99.2029702
5,0.97,3.895810487,0.733890147,0.993198633,2.37149855,1.37149855,3.37149855,97,73.3890147,99.3198633
5,0.975,4.020314019,0.871728526,0.994357273,2.496002083,1.496002083,3.496002083,97.5,87.1728526,99.4357273
5,0.98,4.171826233,0.91598108,0.995505735,2.647514296,1.647514296,3.647514296,98,91.598108,99.5505735
5,0.985,4.366048511,0.935834385,0.996644129,2.841736574,1.841736574,3.841736574,98.5,93.5834385,99.6644129
5,0.99,4.638230817,0.956422094,0.997772567,3.11391888,2.11391888,4.11391888,99,95.6422094,99.7772567
5,0.995,5.10085279,0.977792777,0.998891155,3.576540853,2.576540853,4.576540853,99.5,97.7792777,99.8891155
